# Z  N    p0d03/2   p0d05/2   p1s01/2   n0d03/2   n0d05/2   n1s01/2  
  8  16   -11.011   -17.112   -15.863     0.784    -6.701    -4.609
  9  16   -10.947   -17.370   -15.557    -0.833    -8.361    -5.609
 10  16   -10.893   -17.631   -15.268    -2.419    -9.987    -6.590
 11  16   -10.849   -17.894   -14.992    -3.976   -11.581    -7.554
 12  16   -10.812   -18.159   -14.730    -5.505   -13.145    -8.501
 13  16   -10.784   -18.426   -14.479    -7.008   -14.682    -9.433
 14  16   -10.762   -18.426   -14.239    -8.487   -16.192   -10.350
 15  16   -10.552   -18.186   -15.473    -9.425   -17.080   -12.940
 16  16   -10.341   -17.946   -15.473   -10.341   -17.946   -15.473
 17  16   -10.470   -17.947   -15.262   -11.593   -19.397   -16.388
 18  16   -10.601   -17.954   -15.060   -12.829   -20.827   -17.292
 19  16   -10.734   -17.965   -14.866   -14.048   -22.236   -18.184
 20  16   -10.734   -17.980   -14.679   -15.251   -23.626   -19.065
