# Z  N    p0d03/2   p0d05/2   p1s01/2   n0d03/2   n0d05/2   n1s01/2  
  8  16   -11.011   -15.211   -15.863     0.784    -6.701    -4.609
  9  16   -10.969   -15.513   -15.580    -2.647    -8.064    -5.632
 10  16   -10.935   -15.815   -15.310    -6.003    -9.397    -6.634
 11  16   -10.909   -16.117   -15.053    -9.292   -10.705    -7.617
 12  16   -10.889   -16.418   -14.807   -12.516   -11.987    -8.582
 13  16   -10.876   -16.718   -14.571   -15.679   -13.246    -9.529
 14  16   -10.867   -16.718   -14.344   -18.787   -14.484   -10.461
 15  16   -10.653   -16.492   -15.574   -19.624   -15.386   -13.046
 16  16   -10.438   -16.265   -15.574   -20.443   -16.265   -15.574
 17  16   -10.563   -16.279   -15.359   -21.603   -17.729   -16.486
 18  16   -10.691   -16.298   -15.153   -22.749   -19.171   -17.386
 19  16   -10.821   -16.321   -14.956   -23.882   -20.592   -18.274
 20  16   -10.821   -16.348   -14.766   -25.002   -21.994   -19.152
