# Z  N    p0d03/2   p0d05/2   p1s01/2   n0d03/2   n0d05/2   n1s01/2  
  9   8     1.843    -4.554    -3.201     0.120    -5.946    -4.490
  9   9    -0.079    -6.500    -4.430    -0.079    -6.500    -4.430
  9  10    -1.937    -8.380    -5.615    -0.267    -7.031    -4.366
  9  11    -3.736   -10.202    -6.761    -0.446    -7.543    -4.299
  9  12    -5.484   -11.971    -7.873    -0.617    -8.038    -4.231
  9  13    -7.184   -13.692    -8.952    -0.780    -8.518    -4.161
  9  14    -8.840   -15.370   -10.003    -0.937    -8.518    -4.090
  9  15    -9.913   -16.389   -12.821    -0.893    -8.447    -5.609
  9  16   -10.947   -17.370   -15.557    -0.833    -8.361    -5.609
  9  17   -12.330   -18.956   -16.574    -1.126    -8.523    -5.549
  9  18   -13.685   -20.509   -17.571    -1.412    -8.681    -5.489
  9  19   -15.014   -22.032   -18.548    -1.691    -8.835    -5.430
  9  20   -16.318   -23.527   -19.508    -1.691    -8.985    -5.371
