# Z  N    p0d03/2   p0d05/2   p1s01/2   n0d03/2   n0d05/2   n1s01/2  
  9   8     1.843    -4.554    -3.201    -3.880    -5.946    -4.490
  9   9    -0.079    -6.500    -4.430    -4.015    -6.500    -4.430
  9  10    -1.937    -8.380    -5.615    -4.144    -7.031    -4.366
  9  11    -3.736   -10.202    -6.761    -4.266    -7.543    -4.299
  9  12    -5.484   -11.971    -7.873    -4.384    -8.038    -4.231
  9  13    -7.184   -13.692    -8.952    -4.497    -8.518    -4.161
  9  14    -8.840   -15.370   -10.003    -4.607    -8.518    -4.090
  9  15    -9.913   -16.389   -12.821    -4.518    -8.447    -5.609
  9  16   -10.947   -17.370   -15.557    -4.416    -8.361    -5.609
  9  17   -12.290   -22.458   -16.534    -4.629    -8.481    -5.507
  9  18   -13.608   -27.441   -17.494    -4.839    -8.600    -5.409
  9  19   -14.904   -32.324   -18.438    -5.048    -8.719    -5.315
  9  20   -16.178   -37.116   -19.368    -5.048    -8.838    -5.225
