#TF1
#Name: Neutron efficiency
#Parent pad: 0
#range: (0, 10)
#Pts: 10000
#Line_color: 1, 0, 0
#Line_style: solid
#Line_width: 2
#x, f(x)
0, 0
0.001, 0
0.002, 0
0.003, 0
0.004, 0
0.005, 0
0.006, 0
0.007, 0
0.008, 0
0.009, 0
0.01, 0
0.011, 0
0.012, 0
0.013, 0
0.014, 0
0.015, 0
0.016, 0
0.017, 0
0.018, 0
0.019, 0
0.02, 0
0.021, 0
0.022, 0
0.023, 0
0.024, 0
0.025, 0
0.026, 0
0.027, 0
0.028, 0
0.029, 0
0.03, 0
0.031, 0
0.032, 0
0.033, 0
0.034, 0
0.035, 0
0.036, 0
0.037, 0
0.038, 0
0.039, 0
0.04, 0
0.041, 0.00125689
0.042, 0.00251379
0.043, 0.00377068
0.044, 0.00502757
0.045, 0.00628447
0.046, 0.00754136
0.047, 0.00879825
0.048, 0.0100551
0.049, 0.011312
0.05, 0.0125689
0.051, 0.0173428
0.052, 0.0221166
0.053, 0.0268905
0.054, 0.0316643
0.055, 0.0364382
0.056, 0.041212
0.057, 0.0459859
0.058, 0.0507598
0.059, 0.0555336
0.06, 0.0603075
0.061, 0.0722512
0.062, 0.0841949
0.063, 0.0961386
0.064, 0.108082
0.065, 0.120026
0.066, 0.13197
0.067, 0.143914
0.068, 0.155857
0.069, 0.167801
0.07, 0.179745
0.071, 0.201564
0.072, 0.223383
0.073, 0.245202
0.074, 0.267021
0.075, 0.28884
0.076, 0.310659
0.077, 0.332478
0.078, 0.354297
0.079, 0.376116
0.08, 0.397935
0.081, 0.430496
0.082, 0.463056
0.083, 0.495616
0.084, 0.528176
0.085, 0.560736
0.086, 0.593297
0.087, 0.625857
0.088, 0.658417
0.089, 0.690977
0.09, 0.723537
0.091, 0.765973
0.092, 0.808409
0.093, 0.850845
0.094, 0.893281
0.095, 0.935717
0.096, 0.978153
0.097, 1.02059
0.098, 1.06302
0.099, 1.10546
0.1, 1.1479
0.101, 1.19826
0.102, 1.24862
0.103, 1.29898
0.104, 1.34934
0.105, 1.3997
0.106, 1.45007
0.107, 1.50043
0.108, 1.55079
0.109, 1.60115
0.11, 1.65151
0.111, 1.70743
0.112, 1.76335
0.113, 1.81927
0.114, 1.87519
0.115, 1.93111
0.116, 1.98703
0.117, 2.04294
0.118, 2.09886
0.119, 2.15478
0.12, 2.2107
0.121, 2.26986
0.122, 2.32902
0.123, 2.38817
0.124, 2.44733
0.125, 2.50649
0.126, 2.56565
0.127, 2.6248
0.128, 2.68396
0.129, 2.74312
0.13, 2.80228
0.131, 2.86266
0.132, 2.92304
0.133, 2.98343
0.134, 3.04381
0.135, 3.10419
0.136, 3.16457
0.137, 3.22496
0.138, 3.28534
0.139, 3.34572
0.14, 3.40611
0.141, 3.4661
0.142, 3.5261
0.143, 3.5861
0.144, 3.64609
0.145, 3.70609
0.146, 3.76609
0.147, 3.82608
0.148, 3.88608
0.149, 3.94608
0.15, 4.00608
0.151, 4.06448
0.152, 4.12288
0.153, 4.18129
0.154, 4.23969
0.155, 4.2981
0.156, 4.3565
0.157, 4.4149
0.158, 4.47331
0.159, 4.53171
0.16, 4.59012
0.161, 4.64608
0.162, 4.70204
0.163, 4.758
0.164, 4.81397
0.165, 4.86993
0.166, 4.92589
0.167, 4.98186
0.168, 5.03782
0.169, 5.09378
0.17, 5.14975
0.171, 5.20272
0.172, 5.25569
0.173, 5.30866
0.174, 5.36163
0.175, 5.4146
0.176, 5.46757
0.177, 5.52054
0.178, 5.57351
0.179, 5.62648
0.18, 5.67945
0.181, 5.7291
0.182, 5.77876
0.183, 5.82842
0.184, 5.87807
0.185, 5.92773
0.186, 5.97739
0.187, 6.02704
0.188, 6.0767
0.189, 6.12636
0.19, 6.17602
0.191, 6.22221
0.192, 6.26841
0.193, 6.31461
0.194, 6.36081
0.195, 6.40701
0.196, 6.45321
0.197, 6.49941
0.198, 6.5456
0.199, 6.5918
0.2, 6.638
0.201, 6.68072
0.202, 6.72344
0.203, 6.76617
0.204, 6.80889
0.205, 6.85161
0.206, 6.89433
0.207, 6.93705
0.208, 6.97977
0.209, 7.0225
0.21, 7.06522
0.211, 7.10453
0.212, 7.14385
0.213, 7.18316
0.214, 7.22248
0.215, 7.2618
0.216, 7.30111
0.217, 7.34043
0.218, 7.37974
0.219, 7.41906
0.22, 7.45837
0.221, 7.49441
0.222, 7.53045
0.223, 7.56649
0.224, 7.60253
0.225, 7.63857
0.226, 7.67461
0.227, 7.71065
0.228, 7.74669
0.229, 7.78273
0.23, 7.81877
0.231, 7.8517
0.232, 7.88463
0.233, 7.91756
0.234, 7.95049
0.235, 7.98342
0.236, 8.01635
0.237, 8.04928
0.238, 8.08221
0.239, 8.11515
0.24, 8.14808
0.241, 8.17809
0.242, 8.2081
0.243, 8.23811
0.244, 8.26812
0.245, 8.29813
0.246, 8.32815
0.247, 8.35816
0.248, 8.38817
0.249, 8.41818
0.25, 8.44819
0.251, 8.47548
0.252, 8.50277
0.253, 8.53006
0.254, 8.55736
0.255, 8.58465
0.256, 8.61194
0.257, 8.63923
0.258, 8.66652
0.259, 8.69381
0.26, 8.7211
0.261, 8.74587
0.262, 8.77064
0.263, 8.79541
0.264, 8.82019
0.265, 8.84496
0.266, 8.86973
0.267, 8.8945
0.268, 8.91927
0.269, 8.94404
0.27, 8.96881
0.271, 8.99126
0.272, 9.0137
0.273, 9.03615
0.274, 9.0586
0.275, 9.08105
0.276, 9.10349
0.277, 9.12594
0.278, 9.14839
0.279, 9.17083
0.28, 9.19328
0.281, 9.21359
0.282, 9.23391
0.283, 9.25422
0.284, 9.27453
0.285, 9.29484
0.286, 9.31515
0.287, 9.33547
0.288, 9.35578
0.289, 9.37609
0.29, 9.3964
0.291, 9.41476
0.292, 9.43311
0.293, 9.45147
0.294, 9.46982
0.295, 9.48818
0.296, 9.50654
0.297, 9.52489
0.298, 9.54325
0.299, 9.5616
0.3, 9.57996
0.301, 9.59653
0.302, 9.61309
0.303, 9.62966
0.304, 9.64623
0.305, 9.6628
0.306, 9.67936
0.307, 9.69593
0.308, 9.7125
0.309, 9.72907
0.31, 9.74563
0.311, 9.76057
0.312, 9.7755
0.313, 9.79044
0.314, 9.80537
0.315, 9.82031
0.316, 9.83524
0.317, 9.85018
0.318, 9.86511
0.319, 9.88004
0.32, 9.89498
0.321, 9.90843
0.322, 9.92187
0.323, 9.93532
0.324, 9.94877
0.325, 9.96221
0.326, 9.97566
0.327, 9.9891
0.328, 10.0026
0.329, 10.016
0.33, 10.0294
0.331, 10.0415
0.332, 10.0536
0.333, 10.0657
0.334, 10.0778
0.335, 10.0899
0.336, 10.102
0.337, 10.1141
0.338, 10.1262
0.339, 10.1383
0.34, 10.1504
0.341, 10.1612
0.342, 10.1721
0.343, 10.1829
0.344, 10.1938
0.345, 10.2046
0.346, 10.2155
0.347, 10.2263
0.348, 10.2372
0.349, 10.2481
0.35, 10.2589
0.351, 10.2687
0.352, 10.2784
0.353, 10.2881
0.354, 10.2979
0.355, 10.3076
0.356, 10.3173
0.357, 10.3271
0.358, 10.3368
0.359, 10.3465
0.36, 10.3563
0.361, 10.365
0.362, 10.3737
0.363, 10.3824
0.364, 10.3911
0.365, 10.3998
0.366, 10.4085
0.367, 10.4172
0.368, 10.426
0.369, 10.4347
0.37, 10.4434
0.371, 10.4512
0.372, 10.459
0.373, 10.4667
0.374, 10.4745
0.375, 10.4823
0.376, 10.4901
0.377, 10.4979
0.378, 10.5057
0.379, 10.5134
0.38, 10.5212
0.381, 10.5282
0.382, 10.5351
0.383, 10.542
0.384, 10.549
0.385, 10.5559
0.386, 10.5629
0.387, 10.5698
0.388, 10.5767
0.389, 10.5837
0.39, 10.5906
0.391, 10.5968
0.392, 10.603
0.393, 10.6091
0.394, 10.6153
0.395, 10.6215
0.396, 10.6276
0.397, 10.6338
0.398, 10.64
0.399, 10.6462
0.4, 10.6523
0.401, 10.6578
0.402, 10.6633
0.403, 10.6687
0.404, 10.6742
0.405, 10.6797
0.406, 10.6852
0.407, 10.6906
0.408, 10.6961
0.409, 10.7016
0.41, 10.707
0.411, 10.7119
0.412, 10.7167
0.413, 10.7216
0.414, 10.7264
0.415, 10.7312
0.416, 10.7361
0.417, 10.7409
0.418, 10.7457
0.419, 10.7506
0.42, 10.7554
0.421, 10.7597
0.422, 10.7639
0.423, 10.7682
0.424, 10.7724
