#TH1D
#Name: GlobalHist_0
#Parent pad: 1
#Yrange: 0, 66.5829
#Bins: 610
#Ylabel: Counts (per 1.0ns)
#Bin Center, Bin Content, Bin Error
-10.5, 2017, 44.911
-9.5, 5, 2.23607
-8.5, 8, 2.82843
-7.5, 6, 2.44949
-6.5, 13, 3.60555
-5.5, 12, 3.4641
-4.5, 18, 4.24264
-3.5, 11, 3.31662
-2.5, 16, 4
-1.5, 10, 3.16228
-0.5, 56, 7.48331
0.5, 190, 13.784
1.5, 993, 31.5119
2.5, 1458, 38.1838
3.5, 946, 30.7571
4.5, 389, 19.7231
5.5, 192, 13.8564
6.5, 125, 11.1803
7.5, 89, 9.43398
8.5, 38, 6.16441
9.5, 63, 7.93725
10.5, 55, 7.4162
11.5, 54, 7.34847
12.5, 49, 7
13.5, 47, 6.85565
14.5, 42, 6.48074
15.5, 38, 6.16441
16.5, 38, 6.16441
17.5, 38, 6.16441
18.5, 35, 5.91608
19.5, 39, 6.245
20.5, 36, 6
21.5, 38, 6.16441
22.5, 26, 5.09902
23.5, 34, 5.83095
24.5, 24, 4.89898
25.5, 29, 5.38516
26.5, 26, 5.09902
27.5, 12, 3.4641
28.5, 17, 4.12311
29.5, 14, 3.74166
30.5, 14, 3.74166
31.5, 10, 3.16228
32.5, 18, 4.24264
33.5, 28, 5.2915
34.5, 19, 4.3589
35.5, 29, 5.38516
36.5, 18, 4.24264
37.5, 19, 4.3589
38.5, 19, 4.3589
39.5, 13, 3.60555
40.5, 23, 4.79583
41.5, 45, 6.7082
42.5, 26, 5.09902
43.5, 30, 5.47723
44.5, 28, 5.2915
45.5, 26, 5.09902
46.5, 17, 4.12311
47.5, 27, 5.19615
48.5, 24, 4.89898
49.5, 30, 5.47723
50.5, 29, 5.38516
51.5, 33, 5.74456
52.5, 23, 4.79583
53.5, 30, 5.47723
54.5, 28, 5.2915
55.5, 33, 5.74456
56.5, 36, 6
57.5, 38, 6.16441
58.5, 40, 6.32456
59.5, 34, 5.83095
60.5, 36, 6
61.5, 21, 4.58258
62.5, 34, 5.83095
63.5, 41, 6.40312
64.5, 40, 6.32456
65.5, 30, 5.47723
66.5, 29, 5.38516
67.5, 35, 5.91608
68.5, 40, 6.32456
69.5, 41, 6.40312
70.5, 40, 6.32456
71.5, 38, 6.16441
72.5, 43, 6.55744
73.5, 50, 7.07107
74.5, 40, 6.32456
75.5, 36, 6
76.5, 49, 7
77.5, 34, 5.83095
78.5, 40, 6.32456
79.5, 33, 5.74456
80.5, 25, 5
81.5, 34, 5.83095
82.5, 31, 5.56776
83.5, 33, 5.74456
84.5, 41, 6.40312
85.5, 26, 5.09902
86.5, 32, 5.65685
87.5, 36, 6
88.5, 27, 5.19615
89.5, 35, 5.91608
90.5, 29, 5.38516
91.5, 20, 4.47214
92.5, 34, 5.83095
93.5, 28, 5.2915
94.5, 31, 5.56776
95.5, 43, 6.55744
96.5, 33, 5.74456
97.5, 22, 4.69042
98.5, 25, 5
99.5, 21, 4.58258
100.5, 19, 4.3589
101.5, 23, 4.79583
102.5, 22, 4.69042
103.5, 17, 4.12311
104.5, 23, 4.79583
105.5, 18, 4.24264
106.5, 27, 5.19615
107.5, 15, 3.87298
108.5, 16, 4
109.5, 13, 3.60555
110.5, 26, 5.09902
111.5, 20, 4.47214
112.5, 15, 3.87298
113.5, 20, 4.47214
114.5, 19, 4.3589
115.5, 18, 4.24264
116.5, 20, 4.47214
117.5, 19, 4.3589
118.5, 24, 4.89898
119.5, 18, 4.24264
