Ex (keV), dEx (keV), Ibeta (%), dIbeta (%), logft, dlogftl, dlogfth, bgt, dbgtl, dbgth
13556.1, 597.129, 0, 0, 0, 0, 0, 0, 0, 0
13174.6, 570.096, 2.14047, 4.30774, 3.96067, 0.626264, 3.33051, 0.672639, 0.672325, 2.17212
10868.4, 416.157, 0.542862, 0.263945, 5.06625, 0.242402, 0.302705, 0.0527471, 0.0264751, 0.0394253
9397.78, 327.021, 0.370409, 0.0899322, 5.50889, 0.15833, 0.154406, 0.0190352, 0.00569532, 0.00837342
5935.35, 149.027, 1.37426, 0.202358, 5.4897, 0.1076, 0.101862, 0.0198953, 0.00415951, 0.00559355
5405.4, 126.337, 1.69725, 0.247388, 5.47253, 0.104831, 0.0995225, 0.0206978, 0.00423886, 0.00565062
5055.32, 112.122, 0, 0, 0, 0, 0, 0, 0, 0
4810.25, 102.558, 1.16319, 0.119975, 5.71777, 0.0924388, 0.0858472, 0.0117675, 0.00168278, 0.00222157
4474.6, 90.0059, 2.22778, 0.30019, 5.48019, 0.0985672, 0.0933412, 0.0203356, 0.00376559, 0.00494311
4223.85, 81.0658, 6.07056, 0.639862, 5.07769, 0.0908172, 0.084576, 0.0513762, 0.0074178, 0.00972345
3908.74, 70.3996, 2.06922, 0.298183, 5.58581, 0.0991514, 0.0949039, 0.0159458, 0.00313009, 0.00408957
3690.39, 63.4081, 0, 0, 0, 0, 0, 0, 0, 0
3716.53, 64.2269, 2.13686, 0.218057, 5.59635, 0.0884686, 0.0823836, 0.0155634, 0.00215092, 0.00280221
3672.38, 62.8469, 2.71649, 0.39255, 5.49771, 0.0985865, 0.0945209, 0.0195317, 0.00381205, 0.00496101
3359.41, 53.4957, 3.68727, 0.376662, 5.40434, 0.0874643, 0.0815293, 0.0242162, 0.00332597, 0.00431702
3202.52, 49.1131, 2.98221, 0.432636, 5.516, 0.0975078, 0.0937687, 0.0187262, 0.00363193, 0.00470457
3106.03, 46.5276, 3.86728, 0.472906, 5.41505, 0.0914979, 0.0863952, 0.0236266, 0.00385514, 0.00498922
2919.95, 41.7953, 2.14305, 0.312141, 5.69425, 0.0969816, 0.0934472, 0.0124224, 0.00240287, 0.003104
2918.54, 41.7608, 2.97815, 0.433789, 5.5515, 0.0969795, 0.0934462, 0.0172563, 0.00333787, 0.00431175
2826.76, 39.5597, 1.7538, 0.256112, 5.79265, 0.0968667, 0.0934132, 0.00990373, 0.00191528, 0.00247182
2774.85, 38.3557, 3.34353, 0.360147, 5.51873, 0.0872117, 0.081661, 0.0186089, 0.00266708, 0.00344273
2664.46, 35.8984, 2.1415, 0.308948, 5.72557, 0.0960369, 0.0925324, 0.0115579, 0.00221791, 0.00286047
2637.25, 35.3151, 4.92618, 0.592539, 5.36706, 0.0898779, 0.0848868, 0.0263871, 0.0041566, 0.00535213
2534.76, 33.2013, 8.84461, 1.18608, 5.12521, 0.0931097, 0.0889454, 0.0460511, 0.00782842, 0.0100418
2407.15, 30.7633, 15.9333, 13.6781, 4.88484, 0.289237, 0.849256, 0.0800959, 0.0687616, 0.075628
2188.44, 27.1297, 4.49633, 0.650576, 5.46023, 0.0951398, 0.0919085, 0.0212921, 0.00406111, 0.00521475
2058.31, 25.3213, 3.09301, 0.448012, 5.63803, 0.0949205, 0.0917645, 0.0141392, 0.00269303, 0.00345403
1964.84, 24.1946, 3.05513, 0.442907, 5.65432, 0.09477, 0.0916683, 0.0136186, 0.00259142, 0.00332096
1733.61, 22.0386, 1.91062, 0.277713, 5.88505, 0.0944291, 0.091466, 0.0080057, 0.00152035, 0.00194442
1695.32, 21.7671, 2.25953, 0.328614, 5.81663, 0.0943794, 0.0914406, 0.00937173, 0.00177933, 0.00227487
1420.11, 20.4622, 2.36672, 0.347538, 5.82808, 0.0942551, 0.0915585, 0.0091279, 0.00173504, 0.00221244
1372.71, 20.3379, 3.02023, 0.445778, 5.72759, 0.0943738, 0.0917629, 0.0115044, 0.00219115, 0.00279236
1282.44, 20.166, 4.68815, 0.709039, 5.54688, 0.095203, 0.0929558, 0.017441, 0.00336059, 0.00427473
