 2xJf      Ef      2xJi     Ei       Ex       Mred.    B(EM )->   B(EM)<-   Mom.
  7(   1)  -92.112  5(   1)  -69.579  22.532    0.1650    0.0034    0.0045    0.0000
  7(   2)  -91.153  5(   1)  -69.579  21.574   -0.6159    0.0474    0.0632    0.0000
  7(   3)  -89.557  5(   1)  -69.579  19.978    1.0827    0.1465    0.1954    0.0000
  7(   4)  -88.846  5(   1)  -69.579  19.267    0.4209    0.0221    0.0295    0.0000
  7(   5)  -88.700  5(   1)  -69.579  19.121    0.6398    0.0512    0.0682    0.0000
  7(   6)  -88.504  5(   1)  -69.579  18.925    0.3061    0.0117    0.0156    0.0000
  7(   7)  -87.670  5(   1)  -69.579  18.090    0.2327    0.0068    0.0090    0.0000
  7(   8)  -87.250  5(   1)  -69.579  17.671    0.3705    0.0172    0.0229    0.0000
  7(   9)  -86.218  5(   1)  -69.579  16.638    0.4780    0.0286    0.0381    0.0000
  7(  10)  -85.371  5(   1)  -69.579  15.792    0.7232    0.0654    0.0872    0.0000
  7(  11)  -84.689  5(   1)  -69.579  15.110    0.9045    0.1023    0.1364    0.0000
  7(  12)  -83.701  5(   1)  -69.579  14.122   -1.1380    0.1619    0.2158    0.0000
  7(  13)  -82.653  5(   1)  -69.579  13.074    1.1992    0.1798    0.2397    0.0000
  7(  14)  -81.523  5(   1)  -69.579  11.944    1.2693    0.2014    0.2685    0.0000
  7(  15)  -80.321  5(   1)  -69.579  10.742    1.0270    0.1318    0.1758    0.0000
  7(  16)  -78.783  5(   1)  -69.579   9.204    1.1877    0.1763    0.2351    0.0000
  7(  17)  -77.364  5(   1)  -69.579   7.785   -1.5900    0.3160    0.4214    0.0000
  7(  18)  -75.841  5(   1)  -69.579   6.262    2.3236    0.6749    0.8998    0.0000
  7(  19)  -74.292  5(   1)  -69.579   4.713    4.0936    2.0947    2.7929    0.0000
  7(  20)  -73.140  5(   1)  -69.579   3.561   -4.9307    3.0390    4.0519    0.0000
  7(  21)  -71.757  5(   1)  -69.579   2.178   -2.9166    1.0633    1.4177    0.0000
  7(  22)  -69.958  5(   1)  -69.579   0.379    1.9155    0.4586    0.6115    0.0000
  7(  23)  -68.092  5(   1)  -69.579  -1.487    1.4733    0.2713    0.3617    0.0000
  7(  24)  -66.111  5(   1)  -69.579  -3.468    1.1523    0.1660    0.2213    0.0000
  7(  25)  -64.003  5(   1)  -69.579  -5.576    0.9789    0.1198    0.1597    0.0000
  7(  26)  -61.836  5(   1)  -69.579  -7.743    0.8951    0.1001    0.1335    0.0000
  7(  27)  -59.606  5(   1)  -69.579  -9.973    0.8154    0.0831    0.1108    0.0000
  7(  28)  -57.353  5(   1)  -69.579 -12.226    0.8385    0.0879    0.1172    0.0000
  7(  29)  -55.108  5(   1)  -69.579 -14.471    0.6854    0.0587    0.0783    0.0000
  7(  30)  -52.724  5(   1)  -69.579 -16.856    0.5452    0.0372    0.0495    0.0000
  7(  31)  -50.193  5(   1)  -69.579 -19.386    0.4479    0.0251    0.0334    0.0000
  7(  32)  -47.571  5(   1)  -69.579 -22.008    0.3689    0.0170    0.0227    0.0000
  7(  33)  -44.890  5(   1)  -69.579 -24.689    0.3155    0.0124    0.0166    0.0000
  7(  34)  -42.201  5(   1)  -69.579 -27.379    0.2595    0.0084    0.0112    0.0000
  7(  35)  -39.376  5(   1)  -69.579 -30.203    0.2039    0.0052    0.0069    0.0000
  7(  36)  -36.479  5(   1)  -69.579 -33.100    0.1579    0.0031    0.0042    0.0000
  7(  37)  -33.502  5(   1)  -69.579 -36.078    0.1184    0.0018    0.0023    0.0000
  7(  38)  -30.403  5(   1)  -69.579 -39.176    0.0890    0.0010    0.0013    0.0000
  7(  39)  -27.320  5(   1)  -69.579 -42.259    0.0632    0.0005    0.0007    0.0000
  7(  40)  -24.066  5(   1)  -69.579 -45.514    0.0428    0.0002    0.0003    0.0000
  7(  41)  -20.781  5(   1)  -69.579 -48.798    0.0293    0.0001    0.0001    0.0000
  7(  42)  -17.585  5(   1)  -69.579 -51.994    0.0177    0.0000    0.0001    0.0000
  7(  43)  -19.605  5(   1)  -69.579 -49.974    0.0128    0.0000    0.0000    0.0000
  7(  44)  -40.681  5(   1)  -69.579 -28.898    0.0146    0.0000    0.0000    0.0000
  7(  45)  -46.082  5(   1)  -69.579 -23.497    0.0177    0.0000    0.0001    0.0000
  7(  46)  -48.074  5(   1)  -69.579 -21.505    0.0212    0.0001    0.0001    0.0000
  7(  47)  -48.186  5(   1)  -69.579 -21.393    0.0249    0.0001    0.0001    0.0000
  7(  48)  -47.963  5(   1)  -69.579 -21.616    0.0263    0.0001    0.0001    0.0000
  7(  49)  -47.169  5(   1)  -69.579 -22.410    0.0281    0.0001    0.0001    0.0000
  7(  50)  -45.734  5(   1)  -69.579 -23.845    0.0294    0.0001    0.0001    0.0000
  7(  51)  -44.713  5(   1)  -69.579 -24.867    0.0289    0.0001    0.0001    0.0000
  7(  52)  -43.299  5(   1)  -69.579 -26.280    0.0291    0.0001    0.0001    0.0000
  7(  53)  -42.334  5(   1)  -69.579 -27.245    0.0288    0.0001    0.0001    0.0000
  7(  54)  -41.273  5(   1)  -69.579 -28.306    0.0275    0.0001    0.0001    0.0000
  7(  55)  -40.457  5(   1)  -69.579 -29.122    0.0267    0.0001    0.0001    0.0000
  7(  56)  -40.100  5(   1)  -69.579 -29.479    0.0262    0.0001    0.0001    0.0000
  7(  57)  -40.328  5(   1)  -69.579 -29.251    0.0266    0.0001    0.0001    0.0000
  7(  58)  -40.396  5(   1)  -69.579 -29.183    0.0264    0.0001    0.0001    0.0000
  7(  59)  -41.453  5(   1)  -69.579 -28.126    0.0272    0.0001    0.0001    0.0000
  7(  60)  -41.849  5(   1)  -69.579 -27.730    0.0272    0.0001    0.0001    0.0000
  7(  61)  -42.233  5(   1)  -69.579 -27.346    0.0262    0.0001    0.0001    0.0000
  7(  62)  -42.411  5(   1)  -69.579 -27.168    0.0253    0.0001    0.0001    0.0000
  7(  63)  -42.221  5(   1)  -69.579 -27.358    0.0235    0.0001    0.0001    0.0000
  7(  64)  -42.137  5(   1)  -69.579 -27.442    0.0220    0.0001    0.0001    0.0000
  7(  65)  -42.577  5(   1)  -69.579 -27.002    0.0219    0.0001    0.0001    0.0000
  7(  66)  -43.394  5(   1)  -69.579 -26.185    0.0230    0.0001    0.0001    0.0000
  7(  67)  -42.833  5(   1)  -69.579 -26.746    0.0231    0.0001    0.0001    0.0000
  7(  68)  -42.631  5(   1)  -69.579 -26.948    0.0227    0.0001    0.0001    0.0000
  7(  69)  -43.021  5(   1)  -69.579 -26.558    0.0222    0.0001    0.0001    0.0000
  7(  70)  -42.451  5(   1)  -69.579 -27.129    0.0204    0.0001    0.0001    0.0000
  7(  71)  -43.662  5(   1)  -69.579 -25.917    0.0205    0.0001    0.0001    0.0000
  7(  72)  -44.177  5(   1)  -69.579 -25.402    0.0203    0.0001    0.0001    0.0000
