# Ex(MeV)	BGT(1/MeV)	J*2
0.594	0.003557	3
1.86	0.025317	3
2.244	0.002668	7
2.658	0.006166	5
3.203	0.037471	7
3.286	0.003617	5
3.901	0.041859	5
3.928	0.000119	3
4.211	0.000889	3
4.291	0.086919	3
4.446	0.000178	5
4.799	0.115853	7
4.984	0.013518	5
5.31	0.048855	5
5.51	0.017491	7
5.656	0.040436	7
5.852	0.009249	7
5.938	0.19293	5
6.122	0.000771	3
6.195	0.044586	5
6.587	0.006581	3
6.686	0.005336	7
6.805	0.023953	3
7.106	0.013577	7
7.45	0.0134	3
7.471	0.062373	5
7.994	0.05265	5
8.138	0.022589	7
8.602	0.021878	3
8.985	0.051701	7
9.051	0.043104	5
9.274	0.041859	3
9.667	0.080872	7
10.031	0.096821	5
10.17	0.075891	3
10.655	0.127948	7
10.911	0.142711	5
11.158	0.053005	3
11.703	0.142118	7
12.033	0.116327	5
12.345	0.049389	3
12.833	0.159194	7
13.265	0.081405	5
13.537	0.065871	3
14.035	0.104232	7
14.762	0.077373	5
15.099	0.101682	3
15.573	0.139391	7
16.306	0.124568	5
16.398	0.158067	3
16.992	0.249848	7
17.871	0.254769	5
17.886	0.208701	3
18.515	0.533491	7
19.407	0.660076	5
19.469	0.450723	3
20.064	1.65591	7
20.866	1.792752	5
20.972	1.209516	3
21.216	2.402372	7
22.13	1.492507	5
22.199	1.123605	3
22.599	0.840554	7
23.777	0.533729	5
23.834	0.410405	3
24.398	0.362558	7
25.536	0.294138	5
25.662	0.254651	3
26.264	0.214452	7
27.499	0.17455	5
27.654	0.174431	3
28.245	0.131209	7
29.577	0.096998	3
29.589	0.097947	5
30.353	0.094686	7
31.633	0.0651	3
31.772	0.070496	5
32.52	0.079152	7
33.375	0.0	3
33.441	0.0	5
33.509	0.0	7
33.897	0.047136	3
34.023	0.056385	5
34.75	0.065693	7
36.213	0.040376	3
36.368	0.063737	5
36.88	0.0	3
36.881	0.0	7
37.003	0.069488	7
37.054	0.0	7
37.153	0.0	7
37.418	0.0	5
37.599	0.0	3
37.783	0.0	7
37.801	0.0	3
37.836	0.0	5
38.254	0.0	3
38.27	0.0	5
38.285	0.0	7
38.504	0.038598	3
38.544	0.0	5
38.551	0.0	7
38.56	0.04008	5
38.694	0.0	7
38.757	0.0	5
39.248	0.046424	7
39.262	0.0	5
39.299	0.0	3
39.303	0.0	5
39.428	0.0	3
39.503	0.0	3
39.52	0.0	7
39.563	0.0	7
39.597	0.0	5
39.697	0.0	5
40.197	0.0	7
40.278	0.0	7
40.497	0.0	3
40.65	0.0	7
40.766	0.022471	3
40.811	0.0	5
40.821	0.0	5
40.931	0.0	7
40.938	0.0	7
40.956	0.026977	5
41.093	0.0	5
41.184	0.0	3
